CONFIGURATION_1-PLANE_2-OBJECT_1-REDSHIFT	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_1-PLANE_1-OBJECT_1-REDSHIFT	WEIGHT
1.49319685	21.87575722	21.72323608	20.28320503	0.2802026597603487	1.0
1.44290173	21.04474068	22.09628868	21.41435814	0.6919303283682864	1.0
1.43098128	21.64109993	21.67537117	21.39752769	0.685003001259842	1.0
1.56144464	21.90678406	21.83273888	19.98106956	0.589351319480061	1.0
1.30526435	20.68099976	20.71827698	19.97240067	0.3275020835742138	1.0
1.32642758	20.73218727	20.71288109	20.23960114	0.7117987469056114	1.0
1.78346682	20.75588989	20.96728516	20.40032005	0.7196190722641171	1.0
1.77464056	21.17570305	20.53268242	20.4995079	0.4598433312288952	1.0
1.30130517	21.95475578	22.10482407	22.06072617	0.568164656752283	1.0
1.62106371	21.83934784	21.6120491	20.06124687	0.6997758333034556	1.0
1.56724501	21.26338387	21.48550415	21.00631905	0.5490830241758642	1.0
1.37267137	21.26506996	21.33872986	20.47455025	0.7015166706534015	1.0
1.46291804	21.84498787	21.94726181	21.15531731	0.5093281243491904	1.0
1.31516361	21.90516853	23.1368885	22.04609108	0.4328298941082711	1.0
1.63752162	21.35906029	21.30690575	20.3520546	0.5018569527642822	1.0
1.74732614	21.40495682	21.59798431	20.70113373	0.6482933392662997	1.0
1.39365053	21.72626305	21.37853813	20.17404938	0.5108247185978803	1.0
1.31549788	20.79691887	20.13336754	19.34181213	0.7336901069732574	1.0
1.89464247	21.85740089	22.63794708	22.1472702	0.6078796170946975	1.0
1.36227322	21.78415108	21.83679962	20.41350174	0.389553707963078	1.0
1.32335126	19.17344475	19.20619583	18.88633347	0.6210612572715565	1.0
1.76983011	20.05924797	19.9561367	19.95153236	0.5941951438313854	1.0
1.34124291	21.50813675	21.40375328	20.70549774	0.5603212756745822	1.0
1.68911994	21.66508675	22.34459114	20.87347412	0.4910355136587261	1.0
1.57676911	21.85921288	21.99677467	21.68044853	0.6789968307279296	1.0
1.3642416	21.89572716	21.68094635	21.1369915	0.6593515588190147	1.0
1.68817461	21.78737259	21.60602951	20.58897781	0.3746200166010463	1.0
1.28672171	21.93587685	23.73937416	23.17782974	0.5454285773164699	1.0
1.39329827	20.92299652	21.59397507	22.09175873	0.5517891230041735	1.0
1.41495979	21.97294998	21.82952309	20.89521408	0.6309102357148488	1.0
1.49737453	21.05511856	21.27070618	20.28738594	0.6752115922435706	1.0
1.40285039	21.96429825	21.94405365	21.41667557	0.3295935882220466	1.0
1.45052707	21.82042694	21.81422615	21.37532997	0.4731284904055218	1.0
1.30060053	21.59852409	21.58828163	20.8937664	0.4491614611847522	1.0
1.75346565	21.48385811	21.75193787	20.91266251	0.7264990625843609	1.0
1.89110446	21.6057682	21.97291565	20.76049232	0.6036530490230753	1.0
1.45807385	21.77886772	21.55121994	21.51617813	0.6583860356036914	1.0
1.31449914	21.8123436	21.78607178	20.61478424	0.2694489779983774	1.0
1.33401906	21.23471451	21.03508759	19.69021034	0.3385644040914941	1.0
1.37708163	21.63399124	21.27632713	20.19714355	0.3685383902666436	1.0
1.45618057	21.95694351	21.7808609	20.66462517	0.5162607279342841	1.0
1.41210508	21.73630333	21.71082497	21.38689995	0.4857764432958648	1.0
1.56812167	21.93687439	21.72823906	21.14429665	0.6422801531959721	1.0
1.36594176	21.89447403	21.55054855	22.82931137	0.4910749315534822	1.0
1.3443681	21.0798645	21.1183567	20.49391174	0.5375923812422049	1.0
1.62542689	20.52997589	20.42481995	20.40347862	0.3028279903536413	1.0
1.50956011	21.95232582	21.93418694	21.54482841	0.4357620145545032	1.0
1.59499478	21.53358078	21.63147926	20.49533463	0.7163144170613609	1.0
1.62783563	21.79487419	21.87096596	21.02923393	0.3271031860170528	1.0
1.29365861	21.6179924	21.61423111	20.38786697	0.5020306850889382	1.0
1.45878172	20.83138657	20.88250351	20.15550041	0.3878912800435791	1.0
1.29109168	21.98348999	21.83993721	21.53739929	0.4949618390909911	1.0
1.43279839	21.97171974	22.0618763	20.99341965	0.4340650558586153	1.0
1.42569923	21.46525002	21.96348	21.27260208	0.4555680042345305	1.0
1.37308073	21.6320343	22.62444496	22.18614578	0.6363068090855801	1.0
1.51359463	20.622612	20.73757362	19.87233925	0.7345503839302976	1.0
1.47629976	21.91721916	22.08109283	20.86308861	0.4554032782649861	1.0
1.53813207	21.96053696	21.88166809	21.46454048	0.5291829057849244	1.0
1.37811983	21.49366379	21.37380981	20.25528145	0.5992308286659316	1.0
1.30499923	21.66530228	21.77209282	22.22380447	0.4285376810485387	1.0
1.3076241	21.59251976	20.87048531	20.73991966	0.4304238874410908	1.0
1.49902856	21.65635681	21.62434769	20.69894791	0.6346880829598981	1.0
1.65302157	21.74786377	22.03722763	21.59420586	0.70131869760103	1.0
1.2816844	21.64081192	20.84690857	20.32002258	0.6065706198962717	1.0
1.30213916	20.87678528	20.87957001	19.8795681	0.2790526495511171	1.0
