exposure_time-g	exposure_time-r	exposure_time-z	magnitude_zero_point-g	magnitude_zero_point-r	magnitude_zero_point-z
90.0	38.0	90.0	31.413355	30.73396	31.314495
90.0	100.0	120.0	31.570648	31.81577	31.697662
90.0	100.0	90.0	31.523527	31.672447	31.366747
90.0	37.0	120.0	31.411076	30.739304	31.617687
96.0	30.0	30.0	31.592226	30.512678	30.189793
90.0	163.0	179.0	31.513054	32.38368	32.14084
90.0	53.0	250.0	31.368778	30.974804	32.326145
60.0	100.0	160.0	30.862356	31.720417	32.010292
240.0	34.0	91.0	32.56087	30.616104	31.48808
90.0	90.0	90.0	31.519737	31.702639	31.328913
96.0	30.0	30.0	31.687881	30.568878	30.204838
90.0	150.0	90.0	31.518757	32.245735	31.338692
80.0	125.0	67.0	31.454912	31.857065	30.974068
90.0	90.0	125.0	31.591248	31.645123	31.728273
120.0	120.0	90.0	31.724485	31.925564	31.295507
96.0	50.0	30.0	31.53925	30.954288	30.090134
300.0	90.0	90.0	32.600925	31.58839	31.363611
160.0	46.0	250.0	32.14065	30.95406	32.35173
100.0	100.0	90.0	31.563414	31.795317	31.385063
86.0	100.0	128.0	31.441277	31.699472	31.666542
100.0	30.0	70.0	31.613514	30.576937	31.109535
90.0	40.0	120.0	31.51626	30.80566	31.668457
127.0	40.0	80.0	31.747486	30.706985	31.226183
101.0	40.0	199.0	31.501558	30.692135	32.158676
300.0	30.0	56.0	32.745846	30.530184	30.843582
90.0	30.0	50.0	31.559677	30.560562	30.754633
108.0	40.0	240.0	31.65066	30.705112	32.46112
90.0	30.0	155.0	31.622915	30.520601	31.967705
90.0	72.0	90.0	31.416288	31.42658	31.287714
90.0	60.0	120.0	31.558218	31.269297	31.679123
104.0	30.0	59.0	31.552593	30.453257	30.85017
96.0	50.0	30.0	31.516016	30.957384	30.090967
30.0	100.0	90.0	30.366169	31.823635	31.37899
267.0	267.0	333.0	32.654934	32.826904	32.760838
267.0	90.0	60.0	32.705257	31.59046	30.964539
90.0	30.0	63.0	31.422318	30.449802	30.961967
96.0	90.0	30.0	31.679462	31.69686	30.11576
90.0	73.0	60.0	31.426897	31.433125	30.869938
90.0	90.0	32.0	31.470554	31.665352	30.232197
90.0	36.0	90.0	31.57899	30.590078	31.24976
116.0	40.0	80.0	31.658068	30.69402	31.153883
90.0	120.0	90.0	31.582033	31.922182	31.256191
60.0	150.0	116.0	31.026684	32.314995	31.617558
100.0	50.0	80.0	31.661182	30.985826	31.125826
90.0	40.0	40.0	31.584908	30.919584	30.53629
267.0	267.0	333.0	32.67184	32.908363	32.803776
101.0	50.0	100.0	31.49612	30.937702	31.499182
100.0	120.0	90.0	31.60001	32.00153	31.227892
30.0	60.0	60.0	30.35134	31.194345	28.924099
300.0	300.0	91.0	32.923466	33.09135	30.926727
90.0	90.0	60.0	31.47811	31.669842	30.881908
90.0	40.0	90.0	31.648373	30.882132	31.134657
90.0	120.0	113.0	31.569324	31.904127	31.616524
125.0	40.0	185.0	31.731441	30.701668	32.107796
90.0	30.0	120.0	31.425945	30.49117	31.651009
90.0	90.0	90.0	31.460985	31.67445	31.358986
40.0	100.0	115.0	30.652056	31.808239	31.654385
108.0	50.0	80.0	31.770287	30.99529	31.20809
267.0	150.0	60.0	32.783913	32.311184	30.920698
90.0	30.0	69.0	31.530142	30.438023	30.92429
90.0	30.0	80.0	31.580893	30.463478	31.181372
90.0	30.0	107.0	31.593489	30.4574	31.494345
85.0	40.0	112.0	31.313908	30.70722	31.590027
74.0	59.0	96.0	31.289265	31.22094	31.269272
90.0	150.0	90.0	31.580093	32.216652	31.375742
90.0	90.0	46.0	31.477797	31.67453	30.622923
175.0	175.0	130.0	32.10511	31.491793	31.67256
90.0	30.0	120.0	31.374296	30.478447	31.661438
125.0	100.0	282.0	31.927896	31.811655	31.93079
