CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	WEIGHT
19.87575722	19.72323608	18.28320503	1.0
19.04474068	20.09628868	19.41435814	1.0
19.64109993	19.67537117	19.39752769	1.0
19.90678406	19.83273888	17.98106956	1.0
18.68099976	18.71827698	17.97240067	1.0
18.73218727	18.71288109	18.23960114	1.0
18.75588989	18.96728516	18.40032005	1.0
19.17570305	18.53268242	18.4995079	1.0
19.95475578	20.10482407	20.06072617	1.0
19.83934784	19.6120491	18.06124687	1.0
19.26338387	19.48550415	19.00631905	1.0
19.26506996	19.33872986	18.47455025	1.0
19.84498787	19.94726181	19.15531731	1.0
19.90516853	21.1368885	20.04609108	1.0
19.35906029	19.30690575	18.3520546	1.0
19.40495682	19.59798431	18.70113373	1.0
19.72626305	19.37853813	18.17404938	1.0
18.79691887	18.13336754	17.34181213	1.0
19.85740089	20.63794708	20.1472702	1.0
19.78415108	19.83679962	18.41350174	1.0
17.17344475	17.20619583	16.88633347	1.0
18.05924797	17.9561367	17.95153236	1.0
19.50813675	19.40375328	18.70549774	1.0
19.66508675	20.34459114	18.87347412	1.0
19.85921288	19.99677467	19.68044853	1.0
19.89572716	19.68094635	19.1369915	1.0
19.78737259	19.60602951	18.58897781	1.0
19.93587685	21.73937416	21.17782974	1.0
18.92299652	19.59397507	20.09175873	1.0
19.97294998	19.82952309	18.89521408	1.0
19.05511856	19.27070618	18.28738594	1.0
19.96429825	19.94405365	19.41667557	1.0
19.82042694	19.81422615	19.37532997	1.0
19.59852409	19.58828163	18.8937664	1.0
19.48385811	19.75193787	18.91266251	1.0
19.6057682	19.97291565	18.76049232	1.0
19.77886772	19.55121994	19.51617813	1.0
19.8123436	19.78607178	18.61478424	1.0
19.23471451	19.03508759	17.69021034	1.0
19.63399124	19.27632713	18.19714355	1.0
19.95694351	19.7808609	18.66462517	1.0
19.73630333	19.71082497	19.38689995	1.0
19.93687439	19.72823906	19.14429665	1.0
19.89447403	19.55054855	20.82931137	1.0
19.0798645	19.1183567	18.49391174	1.0
18.52997589	18.42481995	18.40347862	1.0
19.95232582	19.93418694	19.54482841	1.0
19.53358078	19.63147926	18.49533463	1.0
19.79487419	19.87096596	19.02923393	1.0
19.6179924	19.61423111	18.38786697	1.0
18.83138657	18.88250351	18.15550041	1.0
19.98348999	19.83993721	19.53739929	1.0
19.97171974	20.0618763	18.99341965	1.0
19.46525002	19.96348	19.27260208	1.0
19.6320343	20.62444496	20.18614578	1.0
18.622612	18.73757362	17.87233925	1.0
19.91721916	20.08109283	18.86308861	1.0
19.96053696	19.88166809	19.46454048	1.0
19.49366379	19.37380981	18.25528145	1.0
19.66530228	19.77209282	20.22380447	1.0
19.59251976	18.87048531	18.73991966	1.0
19.65635681	19.62434769	18.69894791	1.0
19.74786377	20.03722763	19.59420586	1.0
19.64081192	18.84690857	18.32002258	1.0
18.87678528	18.87957001	17.8795681	1.0
19.72590828	19.93856239	19.71178246	1.0
19.20762253	19.79473495	21.51700974	1.0
19.74818039	19.92124557	18.67659378	1.0
19.90621948	20.32345581	19.77755165	1.0
18.57860756	19.02480698	17.97372818	1.0
19.70841026	19.5103302	19.00215149	1.0
18.90694046	18.80220222	18.17048073	1.0
19.94888687	19.80684853	19.157341	1.0
19.6952877	19.59462738	17.97960854	1.0
19.45535278	19.39097023	18.73939133	1.0
19.99045181	20.12003899	18.98147583	1.0
19.94084549	19.81216049	18.37470818	1.0
19.9026165	19.91274452	18.56838226	1.0
19.19673347	19.28358078	19.26199532	1.0
18.95310402	20.11885834	22.34580231	1.0
19.81195068	20.22359467	18.77717209	1.0
19.46242905	19.48474693	18.97431755	1.0
19.9547596	18.69813728	18.4239006	1.0
